TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
44667RRVLL375EA,332999,108883,1500.0,Pounds,6.7246,NO,0.0,6.7405,6.7565,93.604,100.0,99.6678,NO,86.8634,44.834,0.982,NO,R11
14750MTCTL160CH,332116,108883,9300.0,Pounds,14.1314,NO,8.6278,19.2255,24.4062,26.2906,36.8883,86.2549,YES,7.0651,32.5108,0.7032,NO,R11
27874CRLNWEAST1,321114,N090,9.0,Pounds,8.2569,NO,8.2569,8.2569,8.2569,8.2569,8.2569,8.2569,NO,0.0,8.2569,0.0,NO,R99
76702PCKLS8401I,332999,71556,2000.0,Pounds,1.7324,NO,0.0,1.9272,2.1277,8.6697,18.7833,72.7273,YES,6.7424,13.9687,1.7302,YES,R11
29944CSTLN1101M,326199,67641,26800.0,Pounds,50.0,NO,50.0,50.0,50.0,50.0,50.0,50.0,NO,0.0,50.0,0.0,NO,R11
46517GSKTP1810W,326150,117817,11000.0,Pounds,62.1399,NO,33.6993,65.4441,68.75,86.6074,100.0,99.9818,NO,21.1632,76.425,0.1775,NO,R19
27874CRLNWEAST1,321114,N100,5.0,Pounds,4.7619,NO,4.7619,4.7619,4.7619,4.7619,4.7619,4.7619,NO,0.0,4.7619,0.0,NO,R99
15321TMZDM100PA,325510,108883,33000.0,Pounds,93.8834,NO,90.196,94.2196,94.5559,96.902,100.0,99.2481,NO,2.6824,95.8958,0.0249,NO,R11
15321TMZDM100PA,325510,1330207,4800.0,Pounds,47.5012,NO,12.2496,51.3327,55.1724,77.3882,100.0,99.8959,NO,26.0554,65.7159,0.2774,NO,R11
27203PLSTCHWY49,325991,N982,34.0,Pounds,4.3367,NO,0.0,6.367,6.367,11.9718,20.379,11.9718,NO,5.6048,8.4791,0.3653,NO,R99
27203PLSTCHWY49,325991,N040,31.0,Pounds,3.9693,NO,0.0,5.838,5.838,11.032,18.823,11.032,NO,5.194,7.7971,0.3678,NO,R99
