CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
335-66-0,335660,"< 25,000 lb",Withheld,Withheld,Withheld
335-67-1,335671,Withheld,Withheld,Withheld,Withheld
33619-92-0,33619920,Withheld,Withheld,Withheld,Withheld
33667-48-0,33667480,Withheld,Withheld,Withheld,Withheld
33703-08-1,33703081,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb"
33704-61-9,33704619,Withheld,Withheld,Withheld,Withheld
33734-57-5,33734575,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","25,000 - 100,000 lb"
3385-41-9,3385419,Withheld,Withheld,Withheld,Withheld
3386-33-2,3386332,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
4/3/3388,3388043,Withheld,Withheld,Withheld,Withheld
3390-61-2,3390612,Withheld,Withheld,Withheld,Withheld
33908-66-6,33908666,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3399-22-2,3399222,Withheld,Withheld,Withheld,Withheld
34004-36-9,34004369,Withheld,Withheld,Withheld,Withheld
34012-85-6,34012856,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
34036-80-1,34036801,Withheld,Withheld,Withheld,Withheld
34041-09-3,34041093,Withheld,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3407-42-9,3407429,Withheld,Withheld,Withheld,Withheld
34090-76-1,34090761,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
34202-30-7,34202307,Withheld,Withheld,Withheld,Withheld
34206-40-1,34206401,Withheld,Withheld,Withheld,Withheld
3425-61-4,3425614,Withheld,Withheld,Withheld,Withheld
342573-75-5,342573755,Withheld,Withheld,Withheld,Withheld
34274-28-7,34274287,Withheld,Withheld,Withheld,Withheld
34316-64-8,34316648,Withheld,Withheld,Withheld,Withheld
34362-49-7,34362497,Withheld,Withheld,Withheld,Withheld
34363-01-4,34363014,"25,000 - 100,000 lb","< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb"
34364-26-6,34364266,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
34395-24-9,34395249,Withheld,Withheld,Withheld,Withheld
34396-03-7,34396037,Withheld,Withheld,Withheld,Withheld
343978-15-4,343978154,Withheld,Withheld,Withheld,Withheld
343978-24-5,343978245,Withheld,Withheld,Withheld,Withheld
34397-99-4,34397994,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
34398-00-0,34398000,Withheld,Withheld,Withheld,Withheld
344-04-7,344047,"25,000 - 100,000 lb",Withheld,Withheld,Withheld
34416-92-7,34416927,"< 25,000 lb","< 25,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
34417-25-9,34417259,Withheld,Withheld,Withheld,Withheld
3444-17-5,3444175,Withheld,Withheld,Withheld,Withheld
34443-12-4,34443124,Withheld,Withheld,Withheld,Withheld
11/2/3445,3445112,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
34454-97-2,34454972,Withheld,Withheld,Withheld,Withheld
34455-29-3,34455293,Withheld,Withheld,Withheld,Withheld
34458,34458,Withheld,Withheld,Withheld,Withheld
34492,34492,Withheld,Withheld,Withheld,Withheld
34505,34505,Withheld,Withheld,Withheld,Withheld
7/1/3452,3452071,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","< 25,000 lb"
3452-97-9,3452979,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb"
34562-31-7,34562317,Withheld,Withheld,Withheld,Withheld
3457-61-2,3457612,Withheld,Withheld,Withheld,Withheld
34590-94-8,34590948,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
