SRS INTERNAL TRACKING NUMBER,FOR WHAT IS TRANSFERRED,TIME
16147,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),66
16147,Incineration; thermal destruction other than use as a fuel,438
16147,Land treatment or application (with any prior treatment and/or stabilization),1
16147,Landfill (with prior treatment and/or stabilization),136
16147,Macro-encapsulation prior to disposal at another site,13
16147,"Metals recovery including retorting, smelting, chemical, etc.",3
16147,Neutralization only,1
16147,Other Disposal,41
16147,Other chemical precipitation with or without pre-treatment,3
16147,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",27
16147,Other treatment that does not include on-site disposal,35
16147,Solvents recovery,2
16147,Stabilization or chemical fixation prior to disposal at another site,1
16162,Absorption,131
16162,Biological treatment,4
16162,Chemical reduction with or without precipitation,2
16162,Deepwell or underground injection (with or without treatment),20
16162,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),537
16162,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),53
16162,Incineration; thermal destruction other than use as a fuel,1050
16162,Landfill (with prior treatment and/or stabilization),136
16162,Macro-encapsulation prior to disposal at another site,13
16162,Neutralization only,1
16162,Other Disposal,38
16162,Other chemical precipitation with or without pre-treatment,2
16162,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",116
16162,Other treatment that does not include on-site disposal,41
16162,Solvents recovery,6
16162,Stabilization or chemical fixation prior to disposal at another site,2
16162,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
16162,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),2
16196,Absorption,24
16196,"Combination of chemical, biological and/or physical treatment",1
16196,Deepwell or underground injection (with or without treatment),11
16196,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),99
16196,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),30
16196,Incineration; thermal destruction other than use as a fuel,366
16196,Land treatment or application (with any prior treatment and/or stabilization),1
16196,Landfill (with prior treatment and/or stabilization),38
16196,Macro-encapsulation prior to disposal at another site,1
16196,Other Disposal,3
16196,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",17
16196,Other treatment that does not include on-site disposal,8
16196,Stabilization or chemical fixation prior to disposal at another site,1
16204,Absorption,5
16204,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),14
16204,Incineration; thermal destruction other than use as a fuel,94
16204,Landfill (with prior treatment and/or stabilization),2
16238,Chemical reduction with or without precipitation,1
16238,"Combination of chemical, biological and/or physical treatment",1
16238,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),1
16238,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),8
16238,Incineration; thermal destruction other than use as a fuel,66
16261,Absorption,1211
16261,Deepwell or underground injection (with or without treatment),285
16261,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),14382
16261,Incineration; thermal destruction other than use as a fuel,8215
16261,Land treatment or application (with any prior treatment and/or stabilization),55
16261,Landfill (with prior treatment and/or stabilization),3008
16261,Macro-encapsulation prior to disposal at another site,364
16261,"Metals recovery including retorting, smelting, chemical, etc.",35
16261,Other Disposal,2525
16261,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6135
16261,Other treatment that does not include on-site disposal,1232
16261,Surface impoundment that will be closed as a landfill (with prior treatment and/or stabilization meeting LDR treatment standard),17
16410,Absorption,7
16410,Deepwell or underground injection (with or without treatment),3
16410,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),25
16410,Incineration; thermal destruction other than use as a fuel,40
16410,Landfill (with prior treatment and/or stabilization),14
16410,Other Disposal,4
16410,Other treatment that does not include on-site disposal,2
16501,Incineration; thermal destruction other than use as a fuel,3
16519,Chemical oxidation,2
16519,Chemical treatment (reduction / destruction / oxidation /precipitation),1
16519,Deepwell or underground injection (with or without treatment),1
16519,Discharge to sewer/POTW or NPDES (storage or transported prior to discharge to POTW or by NPDES),1
16519,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),8
16519,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),26
16519,Incineration; thermal destruction other than use as a fuel,314
16519,Land treatment or application (with any prior treatment and/or stabilization),3
16519,Landfill (with prior treatment and/or stabilization),54
16519,Macro-encapsulation prior to disposal at another site,4
16519,"Metals recovery including retorting, smelting, chemical, etc.",3
16519,Neutralization only,7
16519,Other Disposal,4
16519,Other chemical precipitation with or without pre-treatment,3
16519,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",6
16519,Other treatment that does not include on-site disposal,21
16519,Solvents recovery,4
16519,Stabilization or chemical fixation prior to disposal at another site,14
16519,Stabilization prior to land disposal at another site (encapsulation / stabilization / fixation),1
16584,Deepwell or underground injection (with or without treatment),11
16584,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),4
16584,Incineration; thermal destruction other than use as a fuel,1
16584,Landfill (with prior treatment and/or stabilization),24
16584,Other Disposal,1
16584,Other treatment that does not include on-site disposal,19
16618,Absorption,4
16618,Energy recovery at this site; used as fuel (includes on-site fuel blending before energy recovery),5
16618,Fuel blending prior to energy recovery at another site (waste generated on-site or received from off-site),3
16618,Incineration; thermal destruction other than use as a fuel,58
16618,Landfill (with prior treatment and/or stabilization),42
16618,Macro-encapsulation prior to disposal at another site,8
