ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
101316738,500000,2014,lb,611640,"Lubricating oils (petroleum), used, noncatalytically refined"
101316738,1000000,2013,lb,611640,"Lubricating oils (petroleum), used, noncatalytically refined"
101316738,500000,2012,lb,611640,"Lubricating oils (petroleum), used, noncatalytically refined"
101371,500000,2015,lb,20040,"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-"
101371,1000000,2014,lb,20040,"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-"
101371,500000,2013,lb,20040,"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-"
101371,500000,2012,lb,20040,"1,3,5-Triazine, 2,4,6-tris(2-propen-1-yloxy)-"
101393,500000,2015,lb,20065,"2-Propenal, 2-methyl-3-phenyl-"
101393,500000,2014,lb,20065,"2-Propenal, 2-methyl-3-phenyl-"
101393,500000,2013,lb,20065,"2-Propenal, 2-methyl-3-phenyl-"
101393,500000,2012,lb,20065,"2-Propenal, 2-methyl-3-phenyl-"
10141056,10000000,2015,lb,168773,"Nitric acid, cobalt(2+) salt (2:1)"
10141056,10000000,2014,lb,168773,"Nitric acid, cobalt(2+) salt (2:1)"
10141056,10000000,2013,lb,168773,"Nitric acid, cobalt(2+) salt (2:1)"
10141056,10000000,2012,lb,168773,"Nitric acid, cobalt(2+) salt (2:1)"
